CASEACCESSFORACCOUNTOWNER,CONTACTACCESSFORACCOUNTOWNER,DEVELOPERNAME,FORECASTUSERID,ID,LASTMODIFIEDBYID,LASTMODIFIEDDATE,MAYFORECASTMANAGERSHARE,NAME,OPPORTUNITYACCESSFORACCOUNTOWNER,PARENTROLEID,PORTALACCOUNTID,PORTALROLE,PORTALTYPE,ROLLUPDESCRIPTION,SYSTEMMODSTAMP,_SDC_BATCHED_AT,_SDC_EXTRACTED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
None,Edit,Solution_Architect_ENTG,,00E61000000QMkKEAW1,0058X00000F1IjdQAF,2024-01-25T15:10:50Z,FALSE,ASM_EMEA_NEUR_UKI_LRG,Edit,00E74000000YIJDEA4,,,None,,2024-01-25T15:10:50Z,2024-01-26T16:04:23.018Z,2024-01-26T15:56:43.874Z,2024-01-26T15:57:49.973Z,1706284606862828001,1703099966673
None,Edit,RD_EMEA_TELCO_LRG,,00E74000000YI1tEAG2,0058X00000F1IjdQAF,2024-01-22T16:33:30Z,FALSE,ASM_EMEA_NEUR_NORNET_LRG,Edit,00EEk000000fvX1MAI,,,None,,2024-01-22T16:33:30Z,2024-01-25T19:08:02.397Z,2024-01-25T19:01:52.602Z,2024-01-25T19:02:58.985Z,1706209336426592001,1703099966673
None,Edit,AE_EMEA_NEUR_NORNET_LRG_STR,,00E74000000YI1uEAG3,0058X00000F1IjdQAF,2024-01-22T16:32:29Z,FALSE,ASM_EMEA_SEUR_FR1_LRG,Edit,00EEk000000fvYlMAI,,,None,,2024-01-22T16:32:29Z,2024-01-24T20:18:19.213Z,2024-01-24T20:09:02.297Z,2024-01-24T20:10:20.134Z,1706126946042413064,1703099966673
None,Edit,ASM_AMER_EAST_NY,,00E74000000YHgjEAG4,0058X00000F1IjdQAF,2024-01-22T16:32:50Z,FALSE,ASM_EMEA_SEUR_FR2_LRG,Edit,00EEk000000fvYyMAI,,,None,,2024-01-22T16:32:50Z,2024-01-24T20:18:19.215Z,2024-01-24T20:09:02.297Z,2024-01-24T20:10:20.134Z,1706126946042631094,1703099966673
None,Edit,AE_EMEA_NEUR_UKI_LRG_ROWPUBSEC,,00E8X0000026pc0UAA5,0058X00000F1IjdQAF,2024-01-22T16:32:30Z,FALSE,ASM_EMEA_SEUR_IL_LRG,Edit,00EEk000000fvYmMAI,,,None,,2024-01-22T16:32:30Z,2024-01-24T20:18:19.213Z,2024-01-24T20:09:02.297Z,2024-01-24T20:10:20.134Z,1706126946042427066,1703099966673
None,Edit,AE_APAC_COMM_MM_TERR,,00E74000000YHhhEAG6,0058X00000F1IjdQAF,2024-01-22T16:32:09Z,FALSE,ASM_EMEA_SEUR_IT,Edit,00EEk000000fvYbMAI,,,None,,2024-01-22T16:32:09Z,2024-01-24T20:18:19.211Z,2024-01-24T20:09:02.297Z,2024-01-24T20:10:20.134Z,1706126946042211036,1703099966673
None,Edit,AE_AMER_COMM_KEYEAST_KEY,,00E74000000YHfKEAW7,0058X00000F1IjdQAF,2024-01-22T16:31:52Z,FALSE,ASM_EMEA_DACH_DE1_LRG,Edit,00EEk000000fvYNMAY,,,None,,2024-01-22T16:31:52Z,2024-01-24T20:18:19.209Z,2024-01-24T20:09:02.297Z,2024-01-24T20:10:20.134Z,1706126946042012011,1703099966673
None,Edit,ASM_EMEA_DACH_DE1_LRG,,00E4M000001RgpEUAS8,0058X00000F1IjdQAF,2024-01-22T16:33:02Z,FALSE,ASM_EMEA_DACH_DE2_LRG,Edit,00EEk000000fvZHMAY,,,None,,2024-01-22T16:33:02Z,2024-01-24T20:18:19.216Z,2024-01-24T20:09:02.297Z,2024-01-24T20:10:20.134Z,1706126946042752111,1703099966673
None,Edit,ASM_SMB_AMER,,00E74000000YI1sEAG9,0058X00000F1IjdQAF,2024-01-22T16:33:10Z,FALSE,ASM_EMEA_DACH_ALPS_LRG,Edit,00EEk000000fvX5MAI,,,None,,2024-01-22T16:33:10Z,2024-01-24T20:18:19.217Z,2024-01-24T20:09:02.297Z,2024-01-24T20:10:20.134Z,1706126946042837122,1703099966673
None,Edit,AE_EMEA_COMM_ROEMEA_LRG_STR_CEE,,00E4M000001Rgs8UAC10,0058X00000F1IjdQAF,2024-01-22T16:32:15Z,FALSE,ASM_EMEA_COMM_NEUR_UKI_MM,Edit,00EEk000000fvYgMAI,,,None,,2024-01-22T16:32:15Z,2024-01-24T20:18:19.211Z,2024-01-24T20:09:02.297Z,2024-01-24T20:10:20.134Z,1706126946042270044,1703099966673
