full_path,free,paid,internal
"gitlab.com/transition%",0,0,1
"gitlab-private.org%",0,0,1
"gitlab.com/Infrastructure/Environments/Staging%",0,0,1
"gitlab.com/Infrastructure/Ephemeral%",0,0,1
"gitlab.com/Infrastructure/Services%",0,0,1
"gitlab.com/cloud-realms/business-tech-realm-27666457%",0,0,1
"gitlab.com/cloud-realms/dedicated-dev-realm-a3dd76fb%",0,0,1
"gitlab.com/cloud-realms/eng-services-realm-dbc69de8",0,0,1
"gitlab.com/cloud-realms/opstrace-realm-c170d0a4",0,0,1
"gitlab.com/cloud-realms/sandbox-realm-639e27ff%",0,0,1
"gitlab.com/cloud-realms/services-realm-1feec840%",0,0,1
"opstrace.com",0,0,1
"gitlabdemo.com%",0,0,1
"gitlab.systems%",0,0,1
"gitlab-cells.com%",0,0,1
"gitlab-cells.dev%",0,0,1
"gitlab.com/Infrastructure/Security Products",0,0,1
"gitlab.com/cloud-realms/eng-infra-saas-realm-4f395ad7",0,0,1
"gitlab.com/customers-gitlab-com",0,0,1


